1643554

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.75              8.86              8.02             51.59
2                      12.97              9.37              8.47             57.42
4                      11.50              7.95              7.14             50.30
8                      12.86              8.25              7.35             37.27
16                     12.58              8.84              8.00             53.22
32                     13.38              9.01              8.10             45.93
64                     12.07              8.07              7.27             45.00
128                    12.98              9.07              8.15             52.06
256                    12.06              8.55              7.74             54.54
512                    12.97              8.96              8.03             50.07
1024                   13.51              9.34              8.40             50.38
2048                   14.45             10.10              9.12             52.25
4096                   16.60             12.09             11.11             59.41
8192                   21.47             14.96             13.76             52.71
16384                  31.99             21.77             20.22             49.42
32768                 111.68             64.53             60.25             21.75
65536                 140.72             80.36             75.43             19.99
131072                207.60            117.96            111.01             19.25
262144                324.88            184.25            173.63             19.01
