1635966

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.50              8.80              7.99             53.66
2                      12.05              8.02              7.16             43.77
4                      12.71              8.85              7.97             51.53
8                      11.63              8.16              7.34             52.64
16                     11.27              7.66              6.91             47.65
32                     12.72              8.51              7.73             45.51
64                     12.24              8.41              7.58             49.52
128                    12.47              8.74              7.91             52.88
256                    11.51              7.95              7.15             50.23
512                    12.42              8.86              7.93             55.14
1024                   13.25              9.14              8.26             50.19
2048                   13.94              9.74              8.88             52.69
4096                   15.85             11.36             10.30             56.37
8192                   21.85             15.17             13.94             52.07
16384                  34.29             22.42             20.67             42.61
32768                 108.76             62.30             58.46             20.52
65536                 140.76             80.75             75.81             20.83
131072                203.14            114.63            107.93             17.99
262144                329.50            189.16            178.30             21.29
