1633057

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.74              8.76              7.87             49.39
2                      13.92              9.68              8.72             51.31
4                      13.70              9.57              8.64             52.26
8                      11.96              7.99              7.16             44.54
16                     11.78              8.31              7.49             53.62
32                     12.29              8.30              7.45             46.43
64                     12.61              8.37              7.58             44.01
128                    12.52              8.71              7.86             51.54
256                    12.32              8.38              7.57             47.89
512                    13.20              9.08              8.21             49.88
1024                   12.91              9.15              8.23             54.39
2048                   14.41             10.45              9.53             58.43
4096                   16.10             11.31             10.35             53.76
8192                   20.74             14.99             13.82             58.42
16384                  32.02             21.46             19.89             46.96
32768                 112.15             64.12             60.19             20.20
65536                 143.95             81.81             76.78             19.07
131072                204.31            116.96            110.09             20.66
262144                327.29            183.88            173.36             17.28
