1637177

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.49              8.79              7.97             53.60
2                      11.73              8.02              7.19             48.38
4                      11.29              7.85              7.10             51.42
8                      11.53              8.28              7.51             56.64
16                     11.58              8.10              7.31             52.34
32                     11.86              8.29              7.45             52.18
64                     12.20              8.28              7.44             47.25
128                    11.88              8.47              7.60             55.13
256                    12.28              8.68              7.81             53.95
512                    12.82              8.75              7.92             48.63
1024                   12.64              9.03              8.15             55.69
2048                   13.56              9.65              8.70             55.05
4096                   16.71             11.96             10.98             56.74
8192                   22.40             15.72             14.45             53.81
16384                  33.69             22.24             20.57             44.33
32768                 107.98             61.08             57.33             18.20
65536                 144.09             84.78             79.65             25.54
131072                204.51            114.71            107.94             16.80
262144                321.52            181.19            170.79             17.83
