1644599

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.86              7.94              7.17             45.32
2                      12.73              9.05              8.14             54.89
4                      11.98              8.09              7.25             46.24
8                      11.37              7.79              6.99             48.75
16                     10.79              7.41              6.71             49.53
32                     11.58              7.84              7.01             46.68
64                     12.12              8.15              7.36             46.01
128                    12.46              8.58              7.68             49.43
256                    11.58              7.97              7.14             49.42
512                    12.59              8.68              7.94             50.78
1024                   12.60              8.88              8.03             53.67
2048                   14.22              9.89              9.00             51.87
4096                   16.94             12.03             10.94             55.16
8192                   22.75             16.02             14.75             54.36
16384                  32.12             21.76             20.17             48.64
32768                 110.04             62.06             58.25             17.63
65536                 142.23             81.84             76.92             21.49
131072                207.39            115.88            108.96             16.01
262144                328.09            183.82            173.28             16.74
