1643315

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.45              8.48              7.62             47.82
2                      12.94              8.97              8.09             50.99
4                      11.78              7.98              7.08             46.32
8                      11.09              7.73              6.95             51.73
16                     11.52              8.13              7.33             53.71
32                     12.13              8.60              7.71             54.18
64                     12.80              8.12              7.30             35.91
128                    12.61              8.52              7.70             46.89
256                    12.44              8.73              7.94             53.34
512                    12.71              8.72              7.86             49.25
1024                   13.69              9.60              8.79             53.48
2048                   14.16              9.91              9.04             52.94
4096                   16.45             11.78             10.65             56.14
8192                   22.19             15.55             14.34             53.67
16384                  32.06             21.49             19.99             47.11
32768                 109.04             63.38             59.55             23.33
65536                 140.99             79.43             74.66             17.54
131072                204.25            116.00            109.13             19.13
262144                325.81            184.57            174.01             18.83
