1632927

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.59              8.66              7.82             49.81
2                      13.08              9.12              8.22             51.84
4                      12.29              8.33              7.44             46.73
8                      12.37              8.14              7.29             42.02
16                     11.47              8.04              7.21             52.36
32                     12.20              8.43              7.53             49.87
64                     11.67              8.15              7.39             52.45
128                    12.61              8.55              7.66             46.91
256                    12.54              8.63              7.85             50.17
512                    13.11              8.98              8.12             49.11
1024                   12.56              9.04              8.20             57.09
2048                   14.51              9.98              9.17             50.58
4096                   17.08             12.25             11.27             57.10
8192                   22.86             16.22             15.00             55.76
16384                  33.13             21.57             20.03             42.33
32768                 109.32             62.56             58.57             20.16
65536                 141.49             78.91             74.13             15.58
131072                204.33            115.92            109.01             18.90
262144                327.86            186.60            175.89             19.69
