4105653

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.76
2                       6.49
4                       6.60
8                       8.23
16                      7.24
32                      8.30
64                      9.34
128                     9.77
256                     7.73
512                     7.62
1024                    7.72
2048                    8.88
4096                   16.22
8192                   19.69
16384                  23.86
32768                  35.90
65536                  46.78
131072                 77.07
262144                182.65
