4106249

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.33
2                       6.46
4                       6.13
8                       6.45
16                      9.45
32                      6.41
64                      8.20
128                     8.50
256                     7.67
512                     7.99
1024                    9.32
2048                    9.84
4096                   17.05
8192                   22.98
16384                  24.84
32768                  35.48
65536                  48.17
131072                 80.94
262144                186.48
