4105046

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.86
2                       8.11
4                      10.30
8                      10.45
16                     11.56
32                     11.87
64                     13.28
128                     9.76
256                     9.49
512                    11.46
1024                   11.24
2048                   11.66
4096                   25.16
8192                   27.48
16384                  28.71
32768                  34.14
65536                  55.71
131072                 81.56
262144                192.19
