4107430

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.72
2                       8.71
4                       6.31
8                      10.95
16                      8.19
32                      9.78
64                      9.13
128                    10.25
256                     8.87
512                    10.50
1024                   10.44
2048                   10.87
4096                   19.32
8192                   23.91
16384                  27.24
32768                  38.59
65536                  56.12
131072                 87.29
262144                209.83
