4106000

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.29
2                       6.36
4                       5.61
8                       6.40
16                      6.99
32                      8.17
64                      8.37
128                     7.71
256                     7.44
512                     8.39
1024                    7.71
2048                    8.24
4096                   17.05
8192                   20.45
16384                  24.97
32768                  32.65
65536                  47.18
131072                 77.85
262144                185.86
