4105771

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.73
2                       6.14
4                       7.43
8                       8.40
16                      7.89
32                      6.92
64                      7.78
128                     7.49
256                     7.53
512                     8.62
1024                    8.99
2048                    9.44
4096                   16.75
8192                   19.06
16384                  24.03
32768                  33.12
65536                  48.44
131072                 81.96
262144                194.42
