4109277

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      24.80             15.70             13.49             32.49
2                      13.70             10.54              8.99             64.80
4                      19.43             10.48              8.82              0.00
8                      33.27             17.70             15.23              0.00
16                     15.48             11.42              9.77             58.45
32                     14.04             11.52              9.85             74.37
64                     21.72             17.36             14.91             70.78
128                    24.87             15.18             13.03             25.63
256                    23.82             14.05             12.06             19.00
512                    27.57             17.99             15.45             37.96
1024                   32.89             15.85             13.60              0.00
2048                   53.34             27.97             24.14              0.00
4096                   66.38             29.16             25.18              0.00
8192                   51.23             27.72             23.93              1.74
16384                  43.42             27.20             23.47             30.87
32768                  69.95             45.67             39.52             38.57
65536                  88.53             53.49             46.31             24.34
131072                158.08             86.98             75.33              5.62
262144                417.00            211.19            183.14              0.00
