4110282

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.54             10.05              8.60              1.24
2                      18.60             14.27             12.26             64.73
4                      30.38             24.30             21.00             71.05
8                      12.69              9.36              7.97             58.26
16                     13.74             11.27              9.62             74.34
32                     16.38             12.08             10.33             58.31
64                     26.76             16.09             13.82             22.86
128                    60.11             36.40             31.45             24.61
256                    21.89             14.22             12.17             36.95
512                    23.55             14.62             12.53             28.75
1024                   26.37             16.03             13.76             24.90
2048                   28.39             15.52             13.32              3.37
4096                   33.85             18.68             16.07              5.53
8192                   41.05             24.30             20.94             20.00
16384                  41.48             26.45             22.81             34.08
32768                  58.23             38.12             32.96             38.97
65536                  89.86             53.27             46.14             20.72
131072                160.67            102.42             88.84             34.43
262144                452.39            202.17            175.49              0.00
