4108229

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      27.21             20.27             17.38             60.08
2                      24.34             16.01             13.64             38.91
4                      72.08             49.75             43.03             48.11
8                      37.78             30.81             26.61             73.82
16                     22.86             17.25             14.82             62.14
32                     13.46             10.80              9.22             71.16
64                     17.83             15.05             12.91             78.48
128                    29.67             16.97             14.58             12.87
256                    27.62             17.03             14.63             27.61
512                    26.68             14.93             12.78              8.10
1024                   24.67             14.88             12.77             23.35
2048                   40.49             26.23             22.63             36.99
4096                   33.06             18.80             16.18             11.84
8192                   44.69             27.54             23.77             27.86
16384                  52.29             31.54             27.26             23.91
32768                  73.33             48.25             41.78             39.95
65536                 129.09             53.24             46.08              0.00
131072                244.70            107.64             93.36              0.00
262144                486.74            285.86            248.25             19.08
