4108458

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      46.21             27.33             23.53             19.72
2                      22.54              9.45              8.02              0.00
4                      37.78             19.35             16.66              0.00
8                      26.31             13.39             11.47              0.00
16                     31.83             23.04             19.86             55.71
32                     31.83             11.40              9.73              0.00
64                     16.12             11.41              9.74             51.61
128                    31.11             18.62             16.02             22.03
256                    59.82             37.31             32.27             30.25
512                    28.51             16.18             13.87             11.08
1024                   63.59             22.84             19.69              0.00
2048                   89.41             36.44             31.52              0.00
4096                   44.87             20.67             17.80              0.00
8192                   72.81             42.24             36.54             16.35
16384                  61.54             35.78             30.94             16.76
32768                  79.47             50.44             43.69             33.56
65536                  85.17             53.50             46.35             31.68
131072                189.71            100.65             87.35              0.00
262144                371.61            201.75            175.21              3.05
