4109029

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      16.92             11.93             10.21             51.12
2                      33.80             11.15              9.52              0.00
4                      26.07             10.43              8.91              0.00
8                      16.53             14.12             12.10             80.13
16                     15.43             12.33             10.55             70.58
32                     15.00             12.41             10.63             75.64
64                     29.96             23.66             20.25             68.92
128                    29.00             14.14             12.11              0.00
256                    47.56             17.75             15.25              0.00
512                    52.59             32.11             27.68             26.00
1024                   23.90             15.25             13.08             33.88
2048                   35.44             16.29             13.99              0.00
4096                   81.80             45.86             39.68              9.43
8192                   55.08             34.75             30.03             32.31
16384                  41.53             27.26             23.51             39.29
32768                  81.04             49.55             42.87             26.54
65536                 102.30             53.37             46.26              0.00
131072                175.35            113.82             98.70             37.66
262144                382.73            198.21            171.86              0.00
