4110736

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.19              9.92              8.46             73.22
2                      14.89             11.17              9.55             61.06
4                      14.15              9.76              8.18             46.26
8                      25.48              9.59              8.17              0.00
16                     16.98             11.59              9.90             45.59
32                     32.87             22.98             19.82             50.13
64                     24.77             18.15             15.62             57.65
128                    25.61             14.72             12.64             13.83
256                    21.86             14.16             12.14             36.58
512                    26.34             14.46             12.41              4.22
1024                   26.49             14.88             12.78              9.15
2048                   27.02             17.07             14.68             32.21
4096                   34.70             18.90             16.26              2.85
8192                   34.71             22.51             19.41             37.13
16384                  41.25             27.24             23.53             40.44
32768                  56.79             36.27             31.38             34.60
65536                  85.76             53.97             46.77             32.01
131072                143.16             88.57             76.86             28.97
262144                392.41            199.03            173.02              0.00
