4109387

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      16.50              9.55              8.16             14.85
2                      21.70             15.78             13.55             56.36
4                      24.09             13.65             11.70             10.74
8                      18.81             16.07             13.82             80.18
16                     20.47             15.78             13.56             65.45
32                     18.44             13.23             11.34             54.08
64                     17.62             11.95             10.23             44.53
128                    22.34             14.08             12.08             31.64
256                    26.19             15.14             13.01             15.03
512                    31.90             15.61             13.41              0.00
1024                   32.16             19.26             16.57             22.16
2048                   33.64             17.48             15.03              0.00
4096                   44.19             31.02             26.81             50.88
8192                   49.95             28.10             24.28             10.02
16384                 149.63             38.59             33.41              0.00
32768                 160.35             56.79             49.24              0.00
65536                  93.90             61.20             53.10             38.42
131072                148.74             90.96             78.94             26.80
262144                377.45            197.99            172.14              0.00
