4161179

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.71              1.65              1.18             10.76
2                       2.71              1.65              1.18              9.99
4                       2.71              1.65              1.18             10.37
8                       2.72              1.65              1.19             10.02
16                      2.71              1.65              1.19             10.42
32                      2.77              1.65              1.31             14.23
64                      2.76              1.64              1.31             14.29
128                     2.94              1.80              1.35             15.45
256                     2.95              1.80              1.40             17.34
512                     3.17              1.96              1.49             18.69
1024                    3.54              2.27              1.68             24.77
2048                    3.86              2.44              2.06             31.08
4096                    5.01              3.30              2.71             36.80
8192                    7.75              5.15              4.52             42.48
16384                  13.62              8.57              7.70             34.47
32768                  48.93             20.85             19.28              0.00
65536                  70.50             29.69             27.66              0.00
131072                112.40             48.51             45.43              0.00
262144                189.23             86.30             80.96              0.00
