4157036

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.60              1.53              1.15              6.97
2                       2.53              1.47              1.15              7.11
4                       2.53              1.47              1.15              7.66
8                       2.61              1.54              1.15              7.66
16                      2.57              1.51              1.15              7.04
32                      2.75              1.63              1.27             11.82
64                      2.76              1.64              1.27             11.74
128                     2.76              1.63              1.30             13.40
256                     2.95              1.80              1.36             15.98
512                     3.20              1.96              1.45             14.91
1024                    3.38              2.12              1.62             22.69
2048                    3.86              2.44              2.04             30.54
4096                    4.99              3.24              2.71             35.33
8192                    7.91              5.23              4.56             41.14
16384                  13.76              8.63              7.75             33.75
32768                  49.34             21.13             19.63              0.00
65536                  71.14             30.43             28.27              0.00
131072                113.19             49.07             45.89              0.00
262144                191.44             88.21             82.80              0.00
