4163944

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.71              1.65              1.19             10.50
2                       2.65              1.59              1.19             10.44
4                       2.65              1.59              1.19             10.51
8                       2.66              1.59              1.18              9.53
16                      2.65              1.59              1.18             10.13
32                      3.04              1.90              1.35             15.63
64                      3.05              1.90              1.35             14.99
128                     3.06              1.89              1.39             16.09
256                     3.09              1.90              1.45             17.66
512                     3.14              1.90              1.53             18.89
1024                    3.49              2.21              1.72             25.53
2048                    4.12              2.67              2.12             31.28
4096                    5.03              3.28              2.76             36.60
8192                    7.88              5.27              4.58             42.88
16384                  13.84              8.78              7.87             35.68
32768                  49.04             21.16             19.59              0.00
65536                  70.73             30.30             28.16              0.00
131072                112.75             48.68             45.55              0.00
262144                189.21             86.74             81.38              0.00
