4159467

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.69              1.63              1.16              9.45
2                       2.68              1.62              1.16              9.10
4                       2.69              1.62              1.16              8.05
8                       2.68              1.63              1.17              9.99
16                      2.69              1.63              1.18             10.00
32                      2.74              1.62              1.27             12.30
64                      2.76              1.64              1.27             12.63
128                     2.75              1.62              1.30             13.63
256                     2.93              1.79              1.36             15.98
512                     3.15              1.95              1.44             16.79
1024                    3.34              2.06              1.62             20.67
2048                    3.90              2.49              2.03             30.73
4096                    4.92              3.21              2.66             35.83
8192                    7.68              5.08              4.44             41.40
16384                  13.38              8.41              7.64             34.90
32768                  48.86             20.37             18.87              0.00
65536                  70.53             29.59             27.62              0.00
131072                112.90             48.21             45.05              0.00
262144                189.06             86.53             81.20              0.00
