4159881

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.71              1.64              1.21             11.54
2                       2.73              1.64              1.19              8.93
4                       2.71              1.64              1.17              8.62
8                       2.72              1.64              1.19              9.50
16                      2.71              1.63              1.18              8.83
32                      3.07              1.90              1.35             13.27
64                      3.11              1.93              1.35             13.02
128                     3.15              1.94              1.39             13.20
256                     3.16              1.94              1.45             15.65
512                     3.20              1.94              1.54             18.57
1024                    3.55              2.26              1.73             24.97
2048                    4.19              2.71              2.12             30.16
4096                    5.11              3.34              2.77             36.17
8192                    7.88              5.23              4.55             41.70
16384                  13.93              8.79              8.02             35.94
32768                  49.18             20.77             19.23              0.00
65536                  70.68             29.79             27.76              0.00
131072                112.87             48.87             45.74              0.00
262144                188.94             86.71             81.39              0.00
