4158733

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.63              1.58              1.15              8.14
2                       2.67              1.61              1.15              7.79
4                       2.67              1.60              1.16              7.62
8                       2.67              1.60              1.15              7.03
16                      2.66              1.60              1.15              7.53
32                      2.72              1.60              1.27             11.38
64                      2.74              1.60              1.27             10.69
128                     2.87              1.74              1.30             12.61
256                     2.92              1.76              1.37             15.49
512                     3.15              1.92              1.44             14.74
1024                    3.49              2.23              1.63             22.54
2048                    3.80              2.38              2.03             30.16
4096                    5.02              3.28              2.68             35.16
8192                    7.89              5.27              4.49             41.60
16384                  13.70              8.62              7.75             34.48
32768                  49.06             20.85             19.27              0.00
65536                  70.68             29.83             27.85              0.00
131072                113.45             48.78             45.66              0.00
262144                189.25             86.90             81.57              0.00
