4164268

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.70              1.65              1.14              8.48
2                       2.66              1.60              1.14              6.48
4                       2.68              1.61              1.14              6.18
8                       2.65              1.59              1.15              7.93
16                      2.65              1.59              1.15              7.97
32                      2.70              1.59              1.26             11.60
64                      2.70              1.59              1.27             11.64
128                     2.87              1.74              1.30             12.97
256                     3.05              1.91              1.36             15.97
512                     3.09              1.90              1.45             17.97
1024                    3.46              2.21              1.62             22.50
2048                    3.95              2.51              2.02             29.07
4096                    4.99              3.28              2.66             35.63
8192                    7.85              5.26              4.46             41.85
16384                  13.68              8.62              7.74             34.63
32768                  49.19             20.67             19.04              0.00
65536                  70.22             29.42             27.51              0.00
131072                112.98             48.61             45.42              0.00
262144                188.33             86.40             81.07              0.00
