4158085

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.57              1.51              1.18             10.44
2                       2.68              1.62              1.16              8.51
4                       2.68              1.61              1.16              8.22
8                       2.68              1.62              1.16              8.01
16                      2.69              1.62              1.17              8.35
32                      2.75              1.63              1.26             11.22
64                      2.74              1.61              1.27             11.92
128                     2.90              1.77              1.30             13.16
256                     2.92              1.77              1.36             15.78
512                     3.15              1.93              1.44             15.34
1024                    3.50              2.25              1.63             23.40
2048                    3.80              2.39              2.03             30.45
4096                    4.87              3.16              2.67             35.77
8192                    7.79              5.17              4.49             41.71
16384                  13.56              8.45              7.61             32.93
32768                  49.02             20.82             19.23              0.00
65536                  70.44             29.68             27.68              0.00
131072                111.67             48.70             45.60              0.00
262144                189.56             87.07             81.79              0.00
