4157440

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.52              1.46              1.16              8.72
2                       2.51              1.46              1.14              7.55
4                       2.52              1.46              1.13              6.52
8                       2.52              1.46              1.14              6.60
16                      2.52              1.46              1.14              7.64
32                      2.75              1.63              1.25             10.84
64                      2.74              1.62              1.26             11.32
128                     2.75              1.63              1.30             13.09
256                     3.09              1.94              1.35             14.61
512                     3.13              1.94              1.43             16.97
1024                    3.24              1.94              1.61             19.62
2048                    4.02              2.58              2.01             28.48
4096                    5.10              3.37              2.67             34.85
8192                    7.59              4.99              4.43             41.29
16384                  13.65              8.58              7.75             34.61
32768                  48.84             20.66             19.00              0.00
65536                  70.49             29.88             27.85              0.00
131072                112.91             48.51             45.44              0.00
262144                189.07             86.76             81.48              0.00
