932424

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.34
2                      17.98
4                      17.41
8                      16.78
16                     21.52
32                     31.50
64                     26.26
128                    18.21
256                    23.35
512                    19.94
1024                   13.82
2048                   14.23
4096                   20.15
8192                   32.24
16384                  33.13
32768                 114.38
65536                 132.28
131072                154.36
262144                284.55
