928393

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.33
2                      19.90
4                      11.35
8                      13.00
16                     12.98
32                     12.76
64                     13.24
128                    17.90
256                    33.39
512                    18.84
1024                   14.67
2048                   15.08
4096                   21.49
8192                   30.40
16384                  31.07
32768                 111.28
65536                 127.39
131072                165.22
262144                260.85
