933620

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.17
2                      21.30
4                      17.52
8                      13.96
16                     19.60
32                     27.25
64                     23.94
128                    19.01
256                    22.13
512                    26.10
1024                   22.79
2048                   20.91
4096                   27.35
8192                   25.97
16384                  38.92
32768                 122.89
65536                 137.20
131072                166.96
262144                277.82
