927931

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.97
2                      11.52
4                      10.32
8                       9.58
16                      8.97
32                     10.09
64                     11.06
128                    10.83
256                    14.84
512                    17.47
1024                   19.25
2048                   18.30
4096                   38.59
8192                   37.18
16384                  39.28
32768                 118.80
65536                 126.40
131072                175.49
262144                279.84
