936830

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      14.43
2                      21.96
4                      24.42
8                      19.67
16                     20.98
32                     16.58
64                     14.57
128                    21.61
256                    18.92
512                    19.52
1024                   21.29
2048                   25.60
4096                   29.70
8192                   31.96
16384                  36.77
32768                 112.39
65536                 134.58
131072                163.07
262144                273.02
