936353

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.90
2                      21.85
4                      25.12
8                      20.83
16                     22.92
32                     21.76
64                     15.16
128                    16.63
256                    22.03
512                    16.58
1024                   25.52
2048                   18.69
4096                   17.96
8192                   26.06
16384                  39.89
32768                  99.90
65536                 122.24
131072                165.64
262144                274.45
