930205

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.46
2                      24.45
4                      21.23
8                      25.50
16                     18.45
32                     24.23
64                     15.85
128                    19.97
256                    21.72
512                    20.11
1024                   23.73
2048                   23.13
4096                   28.92
8192                   30.70
16384                  33.46
32768                 101.12
65536                 127.72
131072                173.05
262144                271.93
