926856

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.95
2                       7.80
4                       7.39
8                      10.01
16                     10.30
32                     19.89
64                     14.58
128                    20.09
256                    16.84
512                    14.55
1024                   16.28
2048                   29.28
4096                   33.65
8192                   27.40
16384                  35.26
32768                 118.67
65536                 130.77
131072                168.27
262144                267.87
