934084

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.40
2                      21.11
4                      22.65
8                      23.91
16                     21.07
32                     16.56
64                     14.24
128                    14.75
256                    17.82
512                    13.70
1024                   14.68
2048                   15.29
4096                   18.77
8192                   28.74
16384                  34.01
32768                 107.76
65536                 132.52
131072                164.74
262144                267.37
