
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.88
2                       5.82
4                       5.74
8                       5.73
16                      5.73
32                      5.74
64                      5.74
128                     6.05
256                    10.15
512                    10.26
1024                   10.43
2048                   10.90
4096                   11.29
8192                    9.99
16384                  12.91
32768                  24.84
65536                  49.07
131072                 68.93
262144                111.58
