
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.84
2                       5.77
4                       5.72
8                       5.75
16                      5.77
32                      5.73
64                      5.77
128                     6.18
256                    10.04
512                    10.19
1024                   10.36
2048                   10.80
4096                   11.20
8192                   10.10
16384                  12.94
32768                  24.84
65536                  49.03
131072                 68.71
262144                111.51
