
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.85
2                       5.78
4                       5.86
8                       5.75
16                      5.75
32                      5.73
64                      5.78
128                     6.07
256                    10.14
512                    10.24
1024                   10.47
2048                   10.91
4096                   11.32
8192                   10.00
16384                  12.90
32768                  24.86
65536                  49.00
131072                 68.83
262144                111.54
