
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.25
2                       5.75
4                       5.68
8                       5.77
16                      5.71
32                      5.72
64                      5.72
128                     6.06
256                    10.08
512                    10.18
1024                   10.45
2048                   10.90
4096                   11.26
8192                    9.99
16384                  12.87
32768                  24.83
65536                  48.89
131072                 68.75
262144                111.43
