
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.75
2                       5.83
4                       5.74
8                       5.73
16                      5.75
32                      5.77
64                      5.79
128                     6.05
256                    10.24
512                    10.34
1024                   10.48
2048                   10.94
4096                   11.33
8192                   10.03
16384                  12.91
32768                  24.84
65536                  49.04
131072                 68.74
262144                111.51
