
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.78
2                       5.83
4                       5.77
8                       5.73
16                      5.76
32                      5.76
64                      5.78
128                     6.06
256                    10.17
512                    10.25
1024                   10.45
2048                   11.07
4096                   11.34
8192                    9.97
16384                  12.90
32768                  24.97
65536                  49.05
131072                 68.68
262144                111.48
