1242836

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.71              6.47              5.65              7.37
2                      11.59              6.36              5.57              5.99
4                      11.31              6.26              5.46              7.42
8                      11.23              6.19              5.38              6.28
16                     12.15              6.97              6.12             15.35
32                     14.91              8.71              7.73             19.80
64                     14.88              8.73              7.74             20.51
128                    24.27             12.86             11.69              2.35
256                    24.75             13.15             11.94              2.81
512                    27.36             14.98             13.66              9.37
1024                   32.81             18.94             17.38             20.25
2048                   46.94             29.73             27.55             37.54
4096                   74.69             47.17             43.97             37.42
8192                  145.78             90.43             84.66             34.62
16384                 209.31            155.08            145.68             62.78
32768                 498.70            334.96            315.22             48.06
65536                1058.96            715.14            673.37             48.94
131072               2234.14           1504.63           1417.54             48.54
262144               4851.74           3337.46           3144.67             51.85
