1239670

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.61              6.40              5.60              6.99
2                      11.68              6.40              5.59              5.54
4                      11.36              6.31              5.50              8.15
8                      11.19              6.25              5.45              9.33
16                     12.11              6.85              6.03             12.79
32                     14.83              8.62              7.66             18.96
64                     14.70              8.63              7.67             20.78
128                    24.22             12.77             11.54              0.82
256                    24.86             13.19             11.97              2.50
512                    27.21             14.86             13.57              9.00
1024                   32.89             19.60             18.00             26.18
2048                   46.33             28.14             26.06             30.20
4096                   81.97             47.48             44.21             21.99
8192                  146.95             90.95             84.89             34.03
16384                 208.53            154.76            145.40             63.02
32768                 502.09            336.23            316.13             47.53
65536                1046.72            721.45            679.27             52.11
131072               2222.96           1508.00           1420.32             49.66
262144               4440.53           3374.35           3179.57             66.47
