1261881

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.76              6.39              5.56              3.39
2                      11.67              6.48              5.66              8.19
4                      11.60              6.45              5.62              8.36
8                      11.61              6.39              5.56              6.12
16                     12.23              7.02              6.18             15.69
32                     15.53              8.49              7.56              6.93
64                     14.67              8.43              7.51             16.94
128                    25.07             13.10             11.87              0.00
256                    25.51             13.27             12.05              0.00
512                    27.82             15.28             13.91              9.86
1024                   33.05             18.84             17.27             17.74
2048                   46.90             28.87             26.73             32.57
4096                   80.87             46.30             43.16             19.90
8192                  144.69             91.67             85.93             38.30
16384                 206.24            154.28            144.93             64.15
32768                 501.79            335.36            315.41             47.23
65536                1036.94            707.36            666.18             50.53
131072               2183.43           1493.18           1406.53             50.93
262144               4649.85           3393.20           3197.23             60.70
