1257118

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.56              6.44              5.63              8.98
2                      11.65              6.47              5.66              8.43
4                      11.56              6.45              5.62              9.13
8                      11.43              6.38              5.57              9.52
16                     12.12              6.99              6.15             16.61
32                     14.79              8.60              7.65             19.15
64                     14.73              8.60              7.64             19.72
128                    24.38             12.60             11.36              0.00
256                    24.65             12.94             11.68              0.00
512                    27.03             14.77             13.47              8.93
1024                   33.57             19.73             18.11             23.58
2048                   46.24             28.05             25.91             29.83
4096                   71.96             45.92             42.79             39.16
8192                  146.61             90.18             84.31             33.07
16384                 204.33            150.00            140.91             61.44
32768                 508.65            336.76            316.44             45.68
65536                1057.20            733.32            690.29             53.08
131072               2230.27           1499.54           1412.46             48.27
262144               4815.92           3387.55           3191.93             55.25
