796145

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.96             11.17             10.18              0.00
2                      52.70              8.66              7.79              0.00
4                      64.14             28.33             26.40              0.00
8                      37.72             25.18             23.41             46.44
16                     51.19             24.10             22.39              0.00
32                     69.63             21.06             19.53              0.00
64                     46.18             20.10             18.61              0.00
128                    24.66             13.96             12.82             16.53
256                    22.30             12.75             11.66             18.03
512                    41.83             19.41             17.97              0.00
1024                   55.95             24.60             22.86              0.00
2048                   47.23             27.01             25.16             19.64
4096                  110.59             48.03             44.99              0.00
8192                  175.97             92.35             86.85              3.72
16384                 423.59            241.77            228.02             20.26
32768                1841.66           1367.04           1291.09             63.24
65536                3222.08           2586.13           2442.75             73.97
131072               6016.71           4389.93           4146.95             60.77
262144              11221.46           7465.01           7052.15             46.73
