789405

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.82              9.75              8.85              0.00
2                      20.99             11.00             10.01              0.22
4                      15.54             10.17              9.23             41.78
8                      31.71             11.52             10.51              0.00
16                     34.00             25.16             23.40             62.23
32                     21.52             12.04             10.99             13.77
64                     33.24             17.26             15.92              0.00
128                    23.41             13.53             12.38             20.19
256                    45.77             17.12             15.81              0.00
512                    48.52             20.41             18.90              0.00
1024                   52.71             24.72             22.97              0.00
2048                   53.56             27.92             25.98              1.30
4096                   98.87             45.37             42.47              0.00
8192                  173.42             92.18             86.69              6.29
16384                 418.76            234.68            221.34             16.84
32768                1841.99           1374.04           1297.70             63.94
65536                3235.36           2569.95           2427.55             72.59
131072               5533.58           4516.10           4266.11             76.15
262144               9199.72           7383.00           6974.75             73.95
