786218

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.63             10.71              9.76              8.66
2                      45.10              9.94              9.02              0.00
4                      34.27             27.37             25.48             72.95
8                      48.80             17.83             16.48              0.00
16                     60.97             23.70             22.00              0.00
32                    108.63             10.85              9.86              0.00
64                     34.40             29.07             27.09             80.33
128                    34.97             19.19             17.74             11.07
256                    39.05             10.64              9.70              0.00
512                    50.49             17.09             15.76              0.00
1024                   43.47             21.94             20.36              0.00
2048                   46.40             29.45             27.45             38.28
4096                   89.81             43.64             40.83              0.00
8192                  182.06             91.27             85.85              0.00
16384                 424.30            243.88            230.01             21.56
32768                1836.39           1376.28           1299.81             64.60
65536                3173.62           2575.54           2432.80             75.42
131072               5456.97           4459.20           4212.36             76.31
262144               9200.19           7293.45           6890.09             72.33
