794901

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.00              9.60              8.70              0.00
2                      34.35             12.52             11.44              0.00
4                      28.34             21.85             20.28             68.00
8                      28.07              9.03              8.17              0.00
16                     35.77             25.47             23.66             56.49
32                     46.70             12.43             11.37              0.00
64                     49.52             35.22             32.88             56.49
128                    36.28             30.34             28.27             78.98
256                    36.70             17.12             15.80              0.00
512                    35.22             22.83             21.17             41.51
1024                   52.42             23.58             21.90              0.00
2048                   56.11             27.72             25.82              0.00
4096                  103.28             44.09             41.27              0.00
8192                  173.65             91.72             86.26              5.01
16384                 399.19            239.44            225.80             29.25
32768                1845.59           1375.72           1299.13             63.83
65536                3178.35           2598.64           2454.43             76.38
131072               5261.44           4318.50           4079.02             76.88
262144               9503.34           7347.89           6940.95             68.95
