787219

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.73             11.32             10.34              0.00
2                      31.80             14.93             13.74              0.00
4                      32.92             25.87             24.07             70.72
8                      46.12             14.38             13.22              0.00
16                     41.61             13.80             12.64              0.00
32                     40.00             11.79             10.76              0.00
64                     31.74             16.54             15.24              0.23
128                    39.34             13.80             12.66              0.00
256                    34.71             14.52             13.34              0.00
512                    62.37             16.59             15.31              0.00
1024                   42.57             21.55             19.97              0.00
2048                   43.66             24.56             22.82             16.28
4096                  106.04             42.82             40.08              0.00
8192                  175.78             93.17             87.64              5.73
16384                 415.66            238.72            225.13             21.41
32768                1870.17           1363.20           1287.39             60.62
65536                3260.63           2625.96           2480.29             74.41
131072               5412.62           4417.89           4173.08             76.16
262144               8983.06           7339.37           6933.06             76.29
