796651

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      21.28             11.46             10.46              6.10
2                      42.71              9.31              8.41              0.00
4                      54.40             31.18             29.08             20.15
8                      75.69             14.53             13.36              0.00
16                     36.53             31.39             29.28             82.44
32                     39.24             16.06             14.78              0.00
64                     43.81             21.19             19.63              0.00
128                    60.63             30.38             28.31              0.00
256                    48.82             27.06             25.19             13.62
512                    47.27             28.31             26.35             28.04
1024                   48.33             20.98             19.44              0.00
2048                   45.48             24.00             22.30              3.66
4096                  106.25             46.66             43.70              0.00
8192                  183.67             92.01             86.54              0.00
16384                 436.93            242.11            228.34             14.68
32768                1883.37           1376.11           1299.59             60.97
65536                3222.32           2567.35           2424.84             72.99
131072               5444.05           4406.43           4162.28             75.07
262144               9376.48           7326.75           6921.15             70.38
