637816

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.31
2                       5.48
4                       5.46
8                       5.57
16                      5.45
32                      6.15
64                      6.24
128                     6.44
256                     6.71
512                     7.27
1024                    9.03
2048                   10.50
4096                   14.19
8192                   21.93
16384                  47.74
32768                  84.54
65536                 151.11
131072                316.09
262144                669.87
