641070

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.69
2                       5.72
4                       5.69
8                       5.60
16                      5.61
32                      6.01
64                      6.20
128                     6.35
256                     6.59
512                     7.35
1024                    9.37
2048                   10.60
4096                   14.32
8192                   21.94
16384                  47.73
32768                  84.16
65536                 149.71
131072                320.89
262144                654.02
