640124

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.22
2                       5.29
4                       5.69
8                       5.64
16                      5.72
32                      6.17
64                      6.25
128                     6.44
256                     6.77
512                     7.16
1024                    9.07
2048                   10.51
4096                   14.20
8192                   21.91
16384                  47.84
32768                  84.45
65536                 148.71
131072                321.36
262144                652.97
