636968

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.58
2                       5.55
4                       5.53
8                       5.50
16                      5.52
32                      6.01
64                      6.27
128                     6.38
256                     6.76
512                     7.53
1024                    9.39
2048                   10.60
4096                   14.22
8192                   21.93
16384                  47.97
32768                  84.50
65536                 151.22
131072                319.01
262144                654.48
