652502

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.47
2                       5.47
4                       5.47
8                       5.45
16                      5.39
32                      5.78
64                      5.99
128                     6.20
256                     6.55
512                     7.11
1024                    9.13
2048                   10.59
4096                   14.35
8192                   22.05
16384                  47.74
32768                  84.34
65536                 149.80
131072                315.98
262144                670.10
