650786

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.54
2                       5.72
4                       5.78
8                       5.75
16                      5.70
32                      6.10
64                      6.31
128                     6.56
256                     6.87
512                     7.42
1024                    9.22
2048                   10.55
4096                   14.26
8192                   22.05
16384                  47.80
32768                  84.33
65536                 148.13
131072                320.40
262144                657.07
