655265

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.68
2                       5.65
4                       5.65
8                       5.79
16                      5.76
32                      6.31
64                      6.59
128                     6.64
256                     6.90
512                     7.46
1024                    9.28
2048                   10.51
4096                   14.16
8192                   21.86
16384                  47.73
32768                  84.78
65536                 147.48
131072                321.10
262144                652.07
