653367

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.41
2                       5.53
4                       5.53
8                       5.44
16                      5.55
32                      6.97
64                      6.41
128                     6.57
256                     6.77
512                     7.36
1024                    9.08
2048                   10.66
4096                   14.42
8192                   21.99
16384                  47.85
32768                  84.84
65536                 150.61
131072                321.70
262144                656.30
