646310

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.63
2                       5.64
4                       5.50
8                       5.52
16                      5.43
32                      5.91
64                      6.10
128                     6.18
256                     6.49
512                     7.28
1024                    9.23
2048                   10.54
4096                   14.29
8192                   22.03
16384                  47.90
32768                  84.71
65536                 146.85
131072                317.66
262144                654.16
