1631411

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.09
2                      10.67
4                      10.62
8                      10.35
16                      9.29
32                      9.49
64                     10.00
128                    10.83
256                    11.34
512                    11.70
1024                   14.15
2048                   17.94
4096                   21.67
8192                   30.81
16384                  49.44
32768                 123.46
65536                 182.53
131072                375.78
262144                723.77
